from,to,paragraphs
a-hrc-56-59,a-hrc-53-30,8
a-hrc-57-55,a-78-196,8
a-hrc-58-48,e-c-12-1999-5,8
a-hrc-59-42,a-hrc-58-51,8
a-hrc-59-45,a-hrc-44-51,8
a-hrc-61-45,a-75-210,8
a-hrc-62-44,a-hrc-58-59,8
a-hrc-62-45,ccpr-c-gc-37,8
a-hrc-62-66,a-hrc-56-52,8
a-hrc-7-16,e-cn-4-2005-48,8
cat-c-68-d-882-2018,cat-c-gc-4,8
cat-c-75-d-922-2019,cat-c-gc-2,8
cat-c-75-d-972-2019,cat-c-gc-4,8
cat-c-78-d-1045-2020,cat-c-gc-2,8
cat-c-79-d-943-2019,cat-c-gc-4,8
ccpr-c-106-d-1779-2008,ccpr-c-103-d-1781-2008,8
ccpr-c-139-d-3056-2017-ccpr-c-139-d-3100-2018,ccpr-c-139-d-3056-3134-2018,8
ccpr-c-140-d-3011-2018,ccpr-c-gc-36,8
cedaw-c-68-d-91-2015,annotated-cedaw-gr19-violence,8
cedaw-c-83-d-153-2020,annotated-cedaw-gr19-violence,8
cedaw-c-gc-35,cedaw-c-gc-33,8
cedaw-c-gc-40,a-52-38,8
crc-c-85-d-26-2017,crc-gc-2005-6,8
e-c-12-gc-27,e-c-12-gc-26,8
e-cn-4-1983-14,e-cn-4-1435,8
e-cn-4-1991-56,e-cn-4-1990-46,8
e-cn-4-1995-34,e-cn-4-1994-31,8
e-cn-4-2003-58,e-c-12-2000-4,8
e-cn-4-2004-49,e-cn-4-2003-58,8
e-cn-4-2006-5-add-1,e-cn-4-2005-61-add-1,8
a-61-267,e-cn-4-2006-98,7
a-64-211,a-62-263,7
a-64-211,a-hrc-6-17,7
a-65-255,e-c-12-2000-4,7
a-65-274,a-hrc-14-26,7
a-67-287,a-hrc-4-34,7
a-67-299,a-64-255,7
a-68-288,e-c-12-1999-5,7
a-68-299,a-hrc-23-39,7
a-68-345,a-hrc-24-42,7
a-68-362,ccpr-c-gc-34,7
a-69-397,hri-gen-1-rev-9-vol-i-p-191,7
a-70-260,e-cn-4-2006-61,7
a-70-263,a-hrc-23-43,7
a-71-282,a-hrc-26-31,7
a-71-303,a-hrc-32-41,7
a-71-372,a-69-265,7
a-71-373,ccpr-c-gc-34,7
a-72-164,a-71-303,7
a-72-287,a-71-301,7
a-72-287,a-hrc-16-51,7
a-72-335,ccpr-c-21-rev-1-add-13,7
a-73-139,a-72-139,7
a-73-152,crc-c-gc-20,7
a-73-303,a-70-330,7
a-73-305,cerd-c-gc-35,7
a-73-348,a-hrc-38-35,7
a-74-149,a-73-176,7
a-74-486,a-67-357,7
a-75-166,a-hrc-42-44,7
a-75-174,a-hrc-14-22,7
a-75-178,e-c-12-2002-11,7
a-75-207,a-hrc-36-46,7
a-75-590,a-hrc-44-57,7
a-76-151,a-75-259,7
a-76-172,e-c-12-gc-22,7
a-76-222,ccpr-c-gc-37,7
a-76-237,a-75-219,7
a-77-136,cedaw-c-gc-37,7
a-77-167,a-70-203,7
a-77-174,a-75-167,7
a-77-549,a-hrc-41-54,7
a-77-549,a-hrc-50-60,7
a-78-288,a-76-258,7
a-79-180,a-hrc-51-34,7
a-79-213,crc-gc-2003-3,7
a-79-305,a-hrc-54-29,7
a-79-316,cerd-c-gc-34,7
a-80-183,a-hrc-56-49,7
a-80-214,ccpr-c-gc-36,7
a-hrc-16-53-add-1,a-hrc-13-40-add-1,7
a-hrc-20-20,a-hrc-14-26,7
a-hrc-22-47,a-hrc-13-22,7
a-hrc-22-53,a-64-272,7
a-hrc-24-41,a-hrc-21-47,7
a-hrc-26-37,a-65-288,7
a-hrc-26-37,a-hrc-23-48,7
a-hrc-27-55,a-hrc-21-42,7
a-hrc-28-60,a-hrc-22-42,7
a-hrc-29-51,a-68-389,7
a-hrc-31-57,a-hrc-22-53,7
a-hrc-33-41,crc-c-gc-15,7
a-hrc-38-52,a-72-287,7
a-hrc-38-52,a-hrc-35-41,7
a-hrc-38-52,cerd-c-64-misc-11-rev-3,7
a-hrc-4-21-add-1,a-hrc-4-21,7
a-hrc-40-59,a-73-207,7
a-hrc-41-43,a-72-162,7
a-hrc-42-40,a-hrc-39-46,7
a-hrc-42-47,e-c-12-2002-11,7
a-hrc-43-43,a-71-310,7
a-hrc-43-43,a-73-310-rev-1,7
a-hrc-43-43,a-hrc-4-18,7
a-hrc-43-43,a-hrc-40-61,7
a-hrc-43-50,a-hrc-40-53,7
a-hrc-44-43,a-74-198,7
a-hrc-44-50,a-hrc-20-27,7
a-hrc-44-50,a-hrc-41-41,7
a-hrc-46-34,a-hrc-44-39,7
a-hrc-46-34,a-hrc-44-49,7
a-hrc-48-51,a-74-244,7
a-hrc-48-76,a-hrc-44-57,7
a-hrc-49-53,a-hrc-48-61,7
a-hrc-50-25,a-hrc-40-60,7
a-hrc-50-26,a-hrc-30-41,7
a-hrc-50-27,a-74-181,7
a-hrc-50-36,a-71-348,7
a-hrc-50-36,a-hrc-47-35,7
a-hrc-51-29,a-hrc-48-55,7
a-hrc-54-24,a-hrc-21-46,7
a-hrc-54-30,crc-c-gc-21,7
a-hrc-54-71,a-76-302,7
a-hrc-55-43,a-77-201,7
a-hrc-55-43,a-hrc-52-33,7
a-hrc-55-48,a-78-520,7
a-hrc-56-60,a-hrc-53-28,7
a-hrc-57-46,a-hrc-55-52,7
a-hrc-58-59,a-79-270,7
a-hrc-59-52,cedaw-c-gc-39,7
a-hrc-62-37,cat-c-gc-2,7
a-hrc-62-42,a-hrc-50-38,7
a-hrc-62-44,a-76-237,7
a-hrc-7-16,e-cn-4-2001-51,7
a-hrc-7-5,e-cn-4-2004-10,7
cat-c-gc-3,cat-c-gc-2,7
ccpr-c-100-d-1751-2008,ccpr-c-91-d-1422-2005,7
ccpr-c-102-d-1557-2007,ccpr-c-81-d-1011-2001,7
ccpr-c-107-d-1791-2008,ccpr-c-103-d-1781-2008,7
ccpr-c-130-d-2757-2016,ccpr-c-109-d-1873-2009,7
ccpr-c-133-d-3003-2017,ccpr-c-gc-32,7
ccpr-c-134-d-2943-2017,ccpr-c-gc-37,7
ccpr-c-135-d-2830-2016,ccpr-c-gc-37,7
ccpr-c-135-d-3321-2019,ccpr-c-134-d-3320-2019,7
ccpr-c-138-d-3088-2017,ccpr-c-gc-32,7
ccpr-c-139-d-3056-3134-2018,ccpr-c-139-d-3056-2017-ccpr-c-139-d-3100-2018,7
ccpr-c-139-d-3244-2018,ccpr-c-21-rev-1-add-7,7
ccpr-c-140-d-3011-2017,ccpr-c-gc-36,7
ccpr-c-145-d-4067-2021,ccpr-c-125-d-2980-2017,7
ccpr-c-24-d-148-1983,ccpr-c-24-d-146-1983,7
ccpr-c-24-d-154-1983,ccpr-c-24-d-146-1983,7
ccpr-c-67-d-845-1999,ccpr-c-21-rev-1-add-6,7
ccpr-c-gc-37,ccpr-c-gc-34,7
cedaw-c-46-d-18-2008,annotated-cedaw-gr19-violence,7
cedaw-c-49-d-20-2008,annotated-cedaw-gr19-violence,7
cedaw-c-50-d-22-2009,a-54-38-rev-1-chap-1,7
cedaw-c-57-d-39-2012,annotated-cedaw-gr19-violence,7
cedaw-c-61-d-24-2009,annotated-cedaw-gr19-violence,7
cedaw-c-61-d-45-2012,annotated-cedaw-gr19-violence,7
cedaw-c-73-d-87-2015,annotated-cedaw-gr19-violence,7
cedaw-c-73-d-99-2016,annotated-cedaw-gr19-violence,7
cedaw-c-85-d-173-2021,cedaw-c-gc-32,7
cerd-c-gc-37,e-c-12-2000-4,7
crc-c-79-d-11-2017,crc-gc-2005-6,7
crc-c-80-d-4-2016,crc-gc-2005-6,7
crc-c-81-d-22-2017,crc-gc-2005-6,7
crc-c-83-d-25-2017,crc-gc-2005-6,7
crc-c-85-d-28-2017,crc-gc-2005-6,7
crc-c-85-d-40-2018,crc-gc-2005-6,7
e-c-12-61-d-5-2015,e-1998-22,7
e-c-12-66-d-37-2018,e-1992-23,7
e-c-12-70-d-61-2018,e-1992-23,7
e-c-12-gc-17,e-1991-23,7
e-cn-4-1989-44,e-cn-4-1987-35,7
e-cn-4-1990-13,e-cn-4-1989-18,7
e-cn-4-1990-17,e-cn-4-1989-15,7
e-cn-4-1999-58,e-cn-4-1998-6,7
e-cn-4-2000-65,a-54-386,7
e-cn-4-2002-60,e-cn-4-1999-49,7
e-cn-4-2004-45,e-cn-4-2003-9,7
e-cn-4-2005-51,e-c-12-2000-4,7
e-cn-4-2005-85,a-59-377,7
a-54-386,e-cn-4-1999-58,6
a-61-324,e-cn-4-2000-82,6
a-61-324,e-cn-4-2001-83,6
a-63-161,a-hrc-7-10-add-1,6
a-63-263,a-61-338,6
a-63-271,ccpr-c-gc-32,6
a-64-181,a-hrc-11-41,6
a-64-226,a-59-401,6
a-65-207,a-hrc-10-8-add-1,6
a-65-254,e-c-12-2002-11,6
a-65-274,a-hrc-11-41,6
a-65-274,ccpr-c-21-rev-1-add-13,6
a-66-264,a-65-222,6
a-66-268,a-63-175,6
a-66-270,a-hrc-16-42,6
a-66-290,ccpr-c-gc-34,6
a-67-292,a-hrc-20-27,6
a-67-396,a-65-258,6
a-67-396,ccpr-c-94-d-1472-2006,6
a-67-396,ccpr-c-gc-32,6
a-68-289,a-67-286,6
a-68-345,a-67-368,6
a-69-213,crc-c-gc-12,6
a-69-265,a-hrc-26-36,6
a-69-269,a-hrc-20-18,6
a-70-212,a-hrc-29-46,6
a-70-212,ccpr-c-gc-32,6
a-70-213,e-c-12-2000-4,6
a-70-260,a-67-261,6
a-70-260,a-hrc-23-48,6
a-70-260,cat-c-gc-2,6
a-70-260,cat-c-gc-3,6
a-70-260,cedaw-c-gc-28,6
a-70-260,e-cn-4-2000-68,6
a-70-270,e-1992-23,6
a-70-279,a-hrc-20-26,6
a-70-297,e-c-12-gc-19,6
a-70-304,a-67-275,6
a-71-291,a-68-279,6
a-71-317,a-hrc-17-38,6
a-71-384,a-62-263,6
a-72-128,crpd-c-gc-2,6
a-72-131,a-hrc-34-59,6
a-72-133,e-c-12-gc-22,6
a-72-140,a-67-305,6
a-72-162,a-hrc-26-25,6
a-72-186,a-71-229,6
a-72-287,a-hrc-14-46,6
a-73-152,a-hrc-38-43,6
a-73-279,a-71-385,6
a-73-310-rev-1,e-1992-23,6
a-73-362,ccpr-c-gc-34,6
a-74-148,a-hrc-31-57,6
a-74-159,e-c-12-gc-24,6
a-74-162,a-hrc-37-60,6
a-74-164,a-hrc-37-61,6
a-74-176,a-hrc-35-31,6
a-75-161,a-71-229,6
a-75-172,a-hrc-26-32,6
a-75-208,a-hrc-36-45,6
